ipv4,ipv6,country,region,city,latitude,longitude,serverid,servername,useragent,connectiontype,ispname,ispnameraw,download_kbps,upload_kbps,ping_ms,jitter,testid,resultDate,local_time,download_mbps,upload_mbps,isp
,2402:800:620e::,Vietnam,Quang Nam Province,Dai Loc,15.65,108.23,72434,Tam Ky,CHROME,,Viettel,Viettel Group,13019.0,,5,3,18389091-984a-bb8d-ij0j-1jiee8jbj0j8,2025-10-24 10:25:34+00:00,2025-10-24 17:25:34+07:00,13.019,,Viettel Group
,2402:800:620e::,Vietnam,Quang Nam Province,Dai Loc,15.65,108.23,72434,Tam Ky,CHROME,,Viettel,Viettel Group,11035.0,,6,2,18389093-169a-bb8d-ij0j-3bgjj6bdj0j8,2025-10-24 10:25:58+00:00,2025-10-24 17:25:58+07:00,11.035,,Viettel Group
,2402:800:620e::,Vietnam,Quang Nam Province,Dai Loc,15.65,108.23,72434,Tam Ky,CHROME,,Viettel,Viettel Group,21056.0,,6,2,18389094-541a-bb8d-ij0j-4febb4fej0j8,2025-10-24 10:26:25+00:00,2025-10-24 17:26:25+07:00,21.056,,Viettel Group
117.2.253.0,,Vietnam,Da Nang,Da Nang,16.07,108.22,72434,Tam Ky,CHROME,,Viettel,Viettel Group,315636.0,296143.0,6,0,18389163-408a-bb8d-ij1g-3eaii0edg1j8,2025-10-24 10:48:47+00:00,2025-10-24 17:48:47+07:00,315.636,296.143,Viettel Group
117.2.253.0,,Vietnam,Da Nang,Da Nang,16.07,108.22,72434,Tam Ky,CHROME,,Viettel,Viettel Group,267309.0,318673.0,10,0,18389169-872a-bb8d-ij1g-9ihcc7ijg1j8,2025-10-24 10:50:50+00:00,2025-10-24 17:50:50+07:00,267.309,318.673,Viettel Group
117.2.253.0,,Vietnam,Da Nang,Da Nang,16.07,108.22,72434,Tam Ky,CHROME,,Viettel,Viettel Group,299144.0,318251.0,5,0,18389220-456a-bb8d-ij2c-0efgg5eac2j8,2025-10-24 11:06:43+00:00,2025-10-24 18:06:43+07:00,299.144,318.251,Viettel Group
117.2.253.0,,Vietnam,Da Nang,Da Nang,16.07,108.22,72434,Tam Ky,CHROME,,Viettel,Viettel Group,303010.0,317765.0,10,0,18389255-210a-bb8d-ij2f-5cbaa1cff2j8,2025-10-24 11:17:30+00:00,2025-10-24 18:17:30+07:00,303.01,317.765,Viettel Group
,2402:800:62f6::,Vietnam,Quang Nam Province,Dai Loc,15.65,108.23,72434,Tam Ky,EDGE,,Viettel,Viettel Group,26775.0,4381.0,8,3,18389265-789a-bb8d-ij2g-5hijj8hfg2j8,2025-10-24 11:20:53+00:00,2025-10-24 18:20:53+07:00,26.775,4.381,Viettel Group
117.2.133.0,,Vietnam,Quang Nam Province,An Binh,15.67,108.37,72434,Tam Ky,Chrome,,Viettel,Viettel Group,401955.0,,5,8,18389268-418a-bb8d-ij2g-8ebii1eig2j8,2025-10-24 11:21:42+00:00,2025-10-24 18:21:42+07:00,401.955,,Viettel Group
,2402:800:62f6::,Vietnam,Quang Nam Province,Dai Loc,15.65,108.23,72434,Tam Ky,EDGE,,Viettel,Viettel Group,18546.0,2807.0,6,267,18389269-239a-bb8d-ij2g-9cdjj3cjg2j8,2025-10-24 11:21:57+00:00,2025-10-24 18:21:57+07:00,18.546,2.807,Viettel Group
117.2.133.0,,Vietnam,Quang Nam Province,An Binh,15.67,108.37,72434,Tam Ky,Chrome,,Viettel,Viettel Group,456867.0,,6,1,18389269-736a-bb8d-ij2g-9hdgg3hjg2j8,2025-10-24 11:22:07+00:00,2025-10-24 18:22:07+07:00,456.867,,Viettel Group
117.2.253.0,,Vietnam,Da Nang,Da Nang,16.07,108.22,72434,Tam Ky,CHROME,,Viettel,Viettel Group,309801.0,318850.0,7,0,18389323-530a-bb8d-ij3c-3fdaa3fdc3j8,2025-10-24 11:38:39+00:00,2025-10-24 18:38:39+07:00,309.801,318.85,Viettel Group
,2402:800:62f6::,Vietnam,Quang Nam Province,Dai Loc,15.65,108.23,72434,Tam Ky,Chrome,,Viettel,Viettel Group,40120.0,,7,3,18389324-101a-bb8d-ij3c-4babb0bec3j8,2025-10-24 11:38:49+00:00,2025-10-24 18:38:49+07:00,40.12,,Viettel Group
,2001:ee0:4c7e::,Vietnam,Quang Nam Province,Phu Cuong,15.75,108.32,72434,Tam Ky,EDGE,,Vinaphone,VNPT,37833.0,30847.0,8,9,18389331-465a-bb8d-ij3d-1egff6ebd3j8,2025-10-24 11:40:59+00:00,2025-10-24 18:40:59+07:00,37.833,30.847,VNPT
117.2.253.0,,Vietnam,Da Nang,Da Nang,16.07,108.22,72434,Tam Ky,CHROME,,Viettel,Viettel Group,300797.0,318675.0,9,0,18389384-274a-bb8d-ij3i-4chee7cei3j8,2025-10-24 11:56:18+00:00,2025-10-24 18:56:18+07:00,300.797,318.675,Viettel Group
117.2.253.0,,Vietnam,Da Nang,Da Nang,16.07,108.22,72434,Tam Ky,CHROME,,Viettel,Viettel Group,310301.0,318621.0,7,0,18389401-858a-bb8d-ij4a-1ifii5iba4j8,2025-10-24 12:01:19+00:00,2025-10-24 19:01:19+07:00,310.301,318.621,Viettel Group
,2402:800:6236::,Vietnam,Quang Nam Province,Cẩm An,15.57,108.33,72434,Tam Ky,Chrome,,Viettel,Viettel Group,642663.0,455942.0,4,0,18389409-965a-bb8d-ij4a-9jgff6jja4j8,2025-10-24 12:03:38+00:00,2025-10-24 19:03:38+07:00,642.663,455.942,Viettel Group
,2402:800:6236::,Vietnam,Quang Nam Province,Cẩm An,15.57,108.33,72434,Tam Ky,Chrome,,Viettel,Viettel Group,623311.0,441725.0,3,0,18389412-520a-bb8d-ij4b-2fcaa2fcb4j8,2025-10-24 12:04:23+00:00,2025-10-24 19:04:23+07:00,623.311,441.725,Viettel Group
,2402:800:6210::,Vietnam,Quảng Trị Province,Tho Xuan,16.85,107.03,72434,Tam Ky,Chrome,,Viettel,Viettel Group,46271.0,,55,25,18389412-824a-bb8d-ij4b-2icee2icb4j8,2025-10-24 12:04:28+00:00,2025-10-24 19:04:28+07:00,46.271,,Viettel Group
,2001:ee0:1b5::,Vietnam,Da Nang,Da Nang,16.07,108.22,72434,Tam Ky,Chrome,,Vinaphone,VNPT,93791.0,50831.0,37,18,18389425-735a-bb8d-ij4c-5hdff3hfc4j8,2025-10-24 12:08:06+00:00,2025-10-24 19:08:06+07:00,93.791,50.831,VNPT
117.2.253.0,,Vietnam,Da Nang,Da Nang,16.07,108.22,72434,Tam Ky,CHROME,,Viettel,Viettel Group,310338.0,318696.0,7,2,18389451-275a-bb8d-ij4f-1chff7cbf4j8,2025-10-24 12:15:02+00:00,2025-10-24 19:15:02+07:00,310.338,318.696,Viettel Group
,2402:800:620e::,Vietnam,Quang Nam Province,Dai Loc,15.65,108.23,72434,Tam Ky,Chrome,,Viettel,Viettel Group,17937.0,16943.0,24,25,18389471-654a-bb8d-ij4h-1gfee5gbh4j8,2025-10-24 12:20:31+00:00,2025-10-24 19:20:31+07:00,17.937,16.943,Viettel Group
,2402:800:620e::,Vietnam,Quang Nam Province,Dai Loc,15.65,108.23,72434,Tam Ky,Chrome,,Viettel,Viettel Group,127273.0,125977.0,7,0,18389494-780a-bb8d-ij4j-4hiaa8hej4j8,2025-10-24 12:26:43+00:00,2025-10-24 19:26:43+07:00,127.273,125.977,Viettel Group
,2402:800:6236::,Vietnam,Quang Nam Province,Cẩm An,15.57,108.33,72434,Tam Ky,Chrome,,Viettel,Viettel Group,93399.0,93132.0,2,0,18389515-265a-bb8d-ij5b-5cgff6cfb5j8,2025-10-24 12:32:15+00:00,2025-10-24 19:32:15+07:00,93.399,93.132,Viettel Group
,2402:800:62f6::,Vietnam,Quang Nam Province,Dai Loc,15.65,108.23,72434,Tam Ky,EDGE,,Viettel,Viettel Group,79878.0,105837.0,4,12,18389526-562a-bb8d-ij5c-6fgcc6fgc5j8,2025-10-24 12:35:15+00:00,2025-10-24 19:35:15+07:00,79.878,105.837,Viettel Group
,2402:800:6238::,Vietnam,Quảng Trị Province,Quảng Trị,16.75,107.2,72434,Tam Ky,Chrome,,Viettel,Viettel Group,101624.0,125676.0,14,43,18389528-786a-bb8d-ij5c-8higg8hic5j8,2025-10-24 12:35:49+00:00,2025-10-24 19:35:49+07:00,101.624,125.676,Viettel Group
,2402:800:6236::,Vietnam,Quang Nam Province,Tien Phuoc,15.48,108.3,72434,Tam Ky,Chrome,,Viettel,Viettel Group,2847.0,45929.0,6,58,18389561-620a-bb8d-ij5g-1gcaa2gbg5j8,2025-10-24 12:44:19+00:00,2025-10-24 19:44:19+07:00,2.847,45.929,Viettel Group
,2402:800:620e::,Vietnam,Quang Nam Province,Dai Loc,15.65,108.23,72434,Tam Ky,EDGE,,Viettel,Viettel Group,317707.0,218227.0,5,2,18389561-785a-bb8d-ij5g-1hiff8hbg5j8,2025-10-24 12:44:22+00:00,2025-10-24 19:44:22+07:00,317.707,218.227,Viettel Group
,2402:800:620e::,Vietnam,Quang Nam Province,Dai Loc,15.65,108.23,72434,Tam Ky,EDGE,,Viettel,Viettel Group,319670.0,215963.0,4,0,18389564-935a-bb8d-ij5g-4jdff3jeg5j8,2025-10-24 12:45:10+00:00,2025-10-24 19:45:10+07:00,319.67,215.963,Viettel Group
116.103.147.0,,Vietnam,Quang Nam Province,Gia Phuoc,15.63,108.38,72434,Tam Ky,Chrome,,Viettel,Viettel Group,11163.0,14856.0,6,1,18389565-535a-bb8d-ij5g-5fdff3ffg5j8,2025-10-24 12:45:19+00:00,2025-10-24 19:45:19+07:00,11.163,14.856,Viettel Group
113.185.106.0,,Vietnam,Da Nang,Da Nang,16.07,108.22,72434,Tam Ky,Chrome,,Vinaphone,VNPT,16277.0,,29,5,18389579-602a-bb8d-ij5h-9gacc0gjh5j8,2025-10-24 12:48:55+00:00,2025-10-24 19:48:55+07:00,16.277,,VNPT
171.225.184.0,,Vietnam,Da Nang,Tuyen Hoa,16.03,108.22,72434,Tam Ky,Chrome,,Viettel,Viettel Group,378418.0,,18,4,18389584-543a-bb8d-ij5i-4fedd4fei5j8,2025-10-24 12:50:12+00:00,2025-10-24 19:50:12+07:00,378.418,,Viettel Group
,2402:800:620e::,Vietnam,Quang Nam Province,Dai Loc,15.65,108.23,72434,Tam Ky,Chrome,,Viettel,Viettel Group,45581.0,20130.0,5,2,18389599-468a-bb8d-ij5j-9egii6ejj5j8,2025-10-24 12:53:54+00:00,2025-10-24 19:53:54+07:00,45.581,20.13,Viettel Group
,2402:800:620e::,Vietnam,Quang Nam Province,Dai Loc,15.65,108.23,72434,Tam Ky,Chrome,,Viettel,Viettel Group,33352.0,14156.0,5,0,18389605-937a-bb8d-ij6a-5jdhh3jfa6j8,2025-10-24 12:55:28+00:00,2025-10-24 19:55:28+07:00,33.352,14.156,Viettel Group
,2402:800:620e::,Vietnam,Quang Nam Province,Dai Loc,15.65,108.23,72434,Tam Ky,Chrome,,Viettel,Viettel Group,170046.0,60872.0,4,0,18389609-351a-bb8d-ij6a-9dfbb5dja6j8,2025-10-24 12:56:18+00:00,2025-10-24 19:56:18+07:00,170.046,60.872,Viettel Group
171.234.12.0,,Vietnam,Quang Ngai,Nghĩa Hành,15.05,108.78,72434,Tam Ky,Edge,,Viettel,Viettel Group,82373.0,7200.0,20,5,18389637-091a-bb8d-ij6d-7ajbb9ahd6j8,2025-10-24 13:03:08+00:00,2025-10-24 20:03:08+07:00,82.373,7.2,Viettel Group
,2001:ee0:1c03::,Vietnam,Da Nang,Da Nang,16.07,108.22,72434,Tam Ky,Chrome,,Vinaphone,VNPT,647.0,,102,471,18389731-432a-bb8d-ij7d-1edcc3ebd7j8,2025-10-24 13:26:57+00:00,2025-10-24 20:26:57+07:00,0.647,,VNPT
116.98.249.0,,Vietnam,Thua Thien Hue,Huế,16.47,107.6,72434,Tam Ky,Chrome,,Viettel,Viettel Group,14732.0,,17,18,18389736-396a-bb8d-ij7d-6djgg9dgd7j8,2025-10-24 13:28:12+00:00,2025-10-24 20:28:12+07:00,14.732,,Viettel Group
,2402:800:620e::,Vietnam,Quang Nam Province,Dai Loc,15.65,108.23,72434,Tam Ky,Chrome,,Viettel,Viettel Group,139117.0,27537.0,4,0,18389803-408a-bb8d-ij8a-3eaii0eda8j8,2025-10-24 13:44:02+00:00,2025-10-24 20:44:02+07:00,139.117,27.537,Viettel Group
113.185.109.0,,Vietnam,Da Nang,Da Nang,16.07,108.22,72434,Tam Ky,Chrome,,Vinaphone,VNPT,5359.0,,36,29,18389858-400a-bb8d-ij8f-8eaaa0eif8j8,2025-10-24 13:56:42+00:00,2025-10-24 20:56:42+07:00,5.359,,VNPT
,2402:800:62ee::,Vietnam,Quang Nam Province,An Loc,15.77,108.28,72434,Tam Ky,Chrome,,Viettel,Viettel Group,67388.0,20981.0,5,1,18389867-632a-bb8d-ij8g-7gdcc3ghg8j8,2025-10-24 13:58:50+00:00,2025-10-24 20:58:50+07:00,67.388,20.981,Viettel Group
,2402:800:6236::,Vietnam,Quang Nam Province,Dong Son,15.65,108.27,72434,Tam Ky,Opera,,Viettel,Viettel Group,44383.0,45805.0,5,1,18389869-378a-bb8d-ij8g-9dhii7djg8j8,2025-10-24 13:59:15+00:00,2025-10-24 20:59:15+07:00,44.383,45.805,Viettel Group
,2402:800:62ee::,Vietnam,Quang Nam Province,Thanh Son,15.68,108.33,72434,Tam Ky,Chrome,,Viettel,Viettel Group,53591.0,79084.0,6,2,18389879-732a-bb8d-ij8h-9hdcc3hjh8j8,2025-10-24 14:01:35+00:00,2025-10-24 21:01:35+07:00,53.591,79.084,Viettel Group
221.132.9.0,,Vietnam,,,16.17,107.83,72434,Tam Ky,SAFARI,,Vinaphone,VNPT,62967.0,,29,60,18389917-561a-bb8d-ij9b-7fgbb6fhb9j8,2025-10-24 14:10:14+00:00,2025-10-24 21:10:14+07:00,62.967,,VNPT
116.110.227.0,,Vietnam,Ho Chi Minh,,10.82,106.63,72434,Tam Ky,Chrome,,Viettel,Viettel Group,57492.0,,41,20,18389931-339a-bb8d-ij9d-1ddjj3dbd9j8,2025-10-24 14:13:16+00:00,2025-10-24 21:13:16+07:00,57.492,,Viettel Group
116.98.249.0,,Vietnam,Thua Thien Hue,Huế,16.47,107.6,72434,Tam Ky,CHROME,,Viettel,Viettel Group,18842.0,,88,126,18389970-706a-bb8d-ij9h-0hagg0hah9j8,2025-10-24 14:22:28+00:00,2025-10-24 21:22:28+07:00,18.842,,Viettel Group
,2402:800:620e::,Vietnam,Quang Nam Province,Dai Loc,15.65,108.23,72434,Tam Ky,Chrome,,Viettel,Viettel Group,318886.0,320529.0,2,0,18390001-249a-bb8d-ja0a-1cejj4cba0a9,2025-10-24 14:29:42+00:00,2025-10-24 21:29:42+07:00,318.886,320.529,Viettel Group
,2402:800:620e::,Vietnam,Quang Nam Province,Dai Loc,15.65,108.23,72434,Tam Ky,Chrome,,Viettel,Viettel Group,92481.0,92680.0,3,1,18390019-454a-bb8d-ja0b-9efee5ejb0a9,2025-10-24 14:34:01+00:00,2025-10-24 21:34:01+07:00,92.481,92.68,Viettel Group
117.2.253.0,,Vietnam,Da Nang,Da Nang,16.07,108.22,72434,Tam Ky,CHROME,,Viettel,Viettel Group,254393.0,318791.0,6,0,18390050-868a-bb8d-ja0f-0igii6iaf0a9,2025-10-24 14:41:26+00:00,2025-10-24 21:41:26+07:00,254.393,318.791,Viettel Group
27.71.162.0,,Vietnam,Quang Nam Province,Phu Loc,15.8,108.18,72434,Tam Ky,Chrome,,Viettel,Viettel Group,203611.0,82494.0,7,0,18390054-709a-bb8d-ja0f-4hajj0hef0a9,2025-10-24 14:42:20+00:00,2025-10-24 21:42:20+07:00,203.611,82.494,Viettel Group
,2402:800:620e::,Vietnam,Quang Nam Province,Dai Loc,15.65,108.23,72434,Tam Ky,Chrome,,Viettel,Viettel Group,279255.0,30878.0,6,0,18390080-024a-bb8d-ja0i-0acee2aai0a9,2025-10-24 14:48:06+00:00,2025-10-24 21:48:06+07:00,279.255,30.878,Viettel Group
209.58.191.0,,Hong Kong,,Hong Kong,22.28,114.15,72434,Tam Ky,Chrome,,Leaseweb Hong Kong,Leaseweb Hong Kong,181615.0,85468.0,75,0,18390080-400a-bb8d-ja0i-0eaaa0eai0a9,2025-10-24 14:48:12+00:00,2025-10-24 21:48:12+07:00,181.615,85.468,Leaseweb Hong Kong
,2401:d800:f5bd::,Vietnam,Ho Chi Minh,Ho Chi Minh City,10.75,106.67,72434,Tam Ky,SAFARI,,Viettel,Viettel Group,76904.0,19558.0,36,37,18390087-037a-bb8d-ja0i-7adhh3ahi0a9,2025-10-24 14:49:45+00:00,2025-10-24 21:49:45+07:00,76.904,19.558,Viettel Group
117.2.253.0,,Vietnam,Da Nang,Da Nang,16.07,108.22,72434,Tam Ky,CHROME,,Viettel,Viettel Group,290849.0,315841.0,11,0,18390088-344a-bb8d-ja0i-8deee4dii0a9,2025-10-24 14:50:03+00:00,2025-10-24 21:50:03+07:00,290.849,315.841,Viettel Group
